epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,240.488,0.99919,0.91874,1.044,0.98864,0.96053,0.98885,0.75371,0.8381,0.69557,1.05307,0.000821206,0.000821206,0.000821206
43,245.547,0.98066,0.90734,1.09825,0.99308,0.96053,0.98948,0.75651,0.86914,0.70546,1.05728,0.000800577,0.000800577,0.000800577
44,250.479,0.98697,0.93694,1.0992,0.98679,0.95821,0.99002,0.77976,0.80449,0.68858,1.03711,0.000779948,0.000779948,0.000779948
45,255.649,0.95097,0.84764,1.05406,0.98679,0.95821,0.99002,0.77976,0.80449,0.68858,1.03711,0.000759318,0.000759318,0.000759318
46,261.259,0.8798,0.85418,1.03377,0.96439,0.98306,0.9883,0.7943,0.76895,0.69161,1.02857,0.000738689,0.000738689,0.000738689
47,266.448,1.00903,0.89571,1.07138,0.97133,0.97865,0.98869,0.79119,0.78581,0.70152,1.03305,0.00071806,0.00071806,0.00071806
48,271.663,0.93982,0.86096,1.02574,0.97115,0.96478,0.98927,0.78827,0.7704,0.67353,1.02953,0.000697431,0.000697431,0.000697431
49,276.792,0.82411,0.79364,1.00257,0.982,0.97368,0.99207,0.78278,0.76061,0.64675,1.03264,0.000676802,0.000676802,0.000676802
50,281.503,0.83713,0.85994,1.05596,0.982,0.97368,0.99207,0.78278,0.76061,0.64675,1.03264,0.000656173,0.000656173,0.000656173
51,286.442,0.87406,0.82132,1.02891,0.98969,0.97368,0.99287,0.77352,0.78404,0.65284,1.04659,0.000635544,0.000635544,0.000635544
52,291.736,0.85605,0.81969,1.01735,0.98812,0.97368,0.99307,0.77343,0.79797,0.66391,1.0495,0.000614915,0.000614915,0.000614915
53,297.411,0.88965,0.83241,1.02836,0.99296,0.97368,0.99217,0.7728,0.79023,0.65245,1.04873,0.000594286,0.000594286,0.000594286
54,302.799,0.82131,0.76327,0.97695,0.98962,0.97368,0.99209,0.7673,0.80107,0.6521,1.05913,0.000573656,0.000573656,0.000573656
55,308.339,0.82937,0.80539,1.03662,0.97747,0.97368,0.99158,0.77398,0.80352,0.64123,1.05971,0.000553027,0.000553027,0.000553027
56,315.674,0.80185,0.77667,1.0197,0.97747,0.97368,0.99158,0.77398,0.80352,0.64123,1.05971,0.000532398,0.000532398,0.000532398
