epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,2471.32,0.46076,0.72682,0.34924,0.86848,0.8887,0.8905,0.9104,0.65413,0.84678,0.83054,0.83374,0.46546,0.92973,1.24579,0.63756,1.29735,0.000163761,0.000163761,0.000163761
30,2508.03,0.4519,0.7265,0.33706,0.86084,0.91021,0.90335,0.9088,0.66457,0.85752,0.79066,0.78832,0.44383,0.92998,1.26095,0.63431,1.26979,0.00016131,0.00016131,0.00016131
31,2561.02,0.43607,0.71077,0.32867,0.85839,0.87841,0.90525,0.90916,0.66478,0.86696,0.82102,0.82991,0.46104,0.92515,1.22814,0.61968,1.26933,0.000158799,0.000158799,0.000158799
32,2614.11,0.42358,0.71418,0.31851,0.84611,0.90849,0.90751,0.92193,0.65323,0.83031,0.82899,0.83013,0.44488,0.95334,1.20627,0.6549,1.28489,0.00015623,0.00015623,0.00015623
33,2741.82,0.4129,0.68359,0.31084,0.8496,0.91196,0.91023,0.91642,0.66257,0.88107,0.86322,0.86657,0.48111,0.9334,1.22533,0.61444,1.28003,0.000153606,0.000153606,0.000153606
34,2867.43,0.41963,0.67923,0.31519,0.84853,0.90193,0.90094,0.91243,0.66199,0.84424,0.84514,0.83516,0.46993,0.94513,1.25907,0.60746,1.28705,0.000150929,0.000150929,0.000150929
35,2989.91,0.40172,0.67478,0.30876,0.84627,0.90533,0.90899,0.91674,0.66608,0.88267,0.81428,0.8469,0.46675,0.91065,1.24923,0.59777,1.27066,0.000148201,0.000148201,0.000148201
36,3075.68,0.39939,0.65966,0.30698,0.84132,0.94378,0.89595,0.93226,0.68447,0.83055,0.84571,0.83753,0.47549,0.92136,1.20552,0.6118,1.27263,0.000145426,0.000145426,0.000145426
37,3145.48,0.39629,0.66059,0.29936,0.84324,0.92866,0.86893,0.91497,0.67177,0.81688,0.85542,0.82962,0.46255,0.91507,1.301,0.59656,1.2721,0.000142607,0.000142607,0.000142607
38,3381.67,0.40075,0.65529,0.3043,0.84189,0.91366,0.89004,0.93237,0.67849,0.83274,0.81807,0.82151,0.45803,0.90292,1.27224,0.56635,1.25879,0.000139745,0.000139745,0.000139745
39,3416.42,0.39279,0.64653,0.30089,0.83256,0.90685,0.89334,0.91861,0.67446,0.87438,0.83972,0.84362,0.4673,0.89912,1.27074,0.58351,1.29322,0.000136844,0.000136844,0.000136844
40,3469.56,0.39554,0.65635,0.29602,0.83914,0.92448,0.8841,0.92239,0.67214,0.87406,0.82181,0.81804,0.46455,0.9239,1.27001,0.60501,1.28778,0.000133907,0.000133907,0.000133907
41,3564.34,0.37563,0.6341,0.28789,0.83731,0.87516,0.89646,0.91274,0.65344,0.82036,0.83619,0.8157,0.44966,0.91518,1.28714,0.62512,1.30266,0.000130936,0.000130936,0.000130936
42,3689.28,0.38029,0.62046,0.28998,0.83779,0.91307,0.90422,0.92127,0.67469,0.87573,0.86607,0.85567,0.47362,0.93863,1.32331,0.59542,1.29199,0.000127935,0.000127935,0.000127935
43,3746.54,0.36391,0.61287,0.28228,0.83675,0.90405,0.91725,0.92054,0.67819,0.8464,0.85448,0.84336,0.4746,0.93417,1.33763,0.58378,1.31337,0.000124907,0.000124907,0.000124907
